"","orgao","objeto","fornecedor","valor"
"41","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL",": SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS – SCFV/ MODALIDADE: CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP","SOCIEDADE BENFEITORA JAGUARÉ",NA
"42","AUTARQUIA HOSPITALAR MUNICIPAL","((NG))CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS NEUROLÓGICAS  – CRÂNIO COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.((CL))","HMS-Imp. e Com. de Produtos Médicos Ltda",634085
"43","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS – SCFV/ MODALIDADE: CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP","INSTITUTO ROGACIONISTA SANTO ANÍBAL",NA
"44","AUTARQUIA HOSPITALAR MUNICIPAL","((NG))CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS NEUROLÓGICAS  – CRÂNIO COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.((CL))","HP Bioproteses Ltda",19800
"45","AUTARQUIA HOSPITALAR MUNICIPAL","((NG))CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS NEUROLÓGICAS  – CRÂNIO COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.((CL))","Mogami Importação e Exportação Ltda",252585
"46","AUTARQUIA HOSPITALAR MUNICIPAL","((NG))CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS NEUROLÓGICAS  – CRÂNIO COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.((CL))","Dabasons Importação, Exportação e Comércio Ltda.",7451150
"47","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS ORTOPÉDICAS DE PRÓTESE DE QUADRIL, OMBRO E JOELHO, COM COMODATO DE EQUIPAMENTOS, MATERIAIS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Oscar Iskin & Cia Ltda.",2915836.08
"48","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS ORTOPÉDICAS DE PRÓTESE DE QUADRIL, OMBRO E JOELHO, COM COMODATO DE EQUIPAMENTOS, MATERIAIS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Bone Surgical Equipamentos Médicos- Eireli",1210767.78
"49","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA ELETIVA ORTOPÉDICA DE ARTROSCOPIA DE MMII E ARTROPLASTIA DE MMSS, COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS.","Oscar Iskin & Cia Ltda",1651078.55
"50","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA ELETIVA ORTOPÉDICA DE ARTROSCOPIA DE MMII E ARTROPLASTIA DE MMSS, COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS.","Bone Surgical Equipamentos Médicos - Eireli",1397999.97
"51","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA ELETIVA ORTOPÉDICA DE ARTROSCOPIA DE MMII E ARTROPLASTIA DE MMSS, COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS.","Extera Importação e Exportação Ltda",261499.98
"52","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAL PARA ANGIOGRAFIA A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Plantão Médico Empreendimentos Ltda",34330
"53","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAL PARA ANGIOGRAFIA A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Cardiolaine Comercio de Material Hospitalar Ltda.",2800
"54","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAL PARA ANGIOGRAFIA A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","E.Tamussino & Cia Ltda",7500
"55","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA NEUROCIRURGIA COM FINALIDADE DE FECHAMENTO DE CRANIO COM COMODATO DE EQUIPAMENTOS, MATERIAIS E INSTRUMENTAIS.","HMS - Import. e Com. de Produtos Médicos Ltda.",2388980
"56","ESPORTES, LAZER E RECREAÇÃO","Serviços gerais de manutenção preventiva, corretiva, reparações, adaptações e modificações, no CDC Flor da Mocidade do Burgo Paulista, Rua Bartolomeu Belland, 2.","CONSITEC ENGENHARIA E TECNOLOGIA LTDA",99642.78
"57","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA NEUROCIRURGIA COM FINALIDADE DE FECHAMENTO DE CRANIO COM COMODATO DE EQUIPAMENTOS, MATERIAIS E INSTRUMENTAIS.","HMS - Imp. e com. de Produtos Médicos Ltda.",2388980
"58","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA PLÁSTICA DE RECONSTRUÇÃO MAMÁRIA, A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","C.R.M. Comércio Imp. e Exp. Ltda - EPP",29292.89
"59","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS","COMERCIAL BOMFRAN DE ALIMENTOS LTDA.",95615
"60","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA VASCULAR A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Biomedical Prod. Cient. Médicos Hospitalares Ltda.",68800
"61","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA VASCULAR A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Neurotechs Comercial Ltda.",39800
"62","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA NEUROCIRURGIA DE CRÂNIO E COLUNA VERTEBRAL, PARA SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Med Care Comercial Ltda",1400000
"63","VERDE E MEIO AMBIENTE","Contratação de especializada em serviços de assistência técnica, manutenção corretiva e preventiva dos sistemas de ar condicionado para o Planetário Prof. Aristóteles Orsini - Parque do Ibirapuera, Planetário do Parque do Carmo e Escola Municipal de Astrofísica (EMA) – Parque Ibirapuera conforme ANEXO I – ESPECIFICAÇÕES DO OBJETO.","E.  A. P. PINGO REFRIGERAÇÃO - ME",82000
"64","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - MODALIDADE CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP","CENTRO COMUNITÁRIO JARDIM AUTÓDROMO",NA
"65","SAÚDE","Contratação de empresa para PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA / SEGURANÇA PATRIMONIAL DESARMADA, COM A EFETIVA COBERTURA DOS POSTOS DESIGNADOS E VIGILÂNCIA ELETRÔNICA, para o Hospital Municipal Maternidade-Escola de Vila Nova Cachoeirinha “Dr. Mário de Moraes Altenfelder Silva” (HMEC).","G4S Vanguarda Segurança e Vigilância Ltda",1121351.7
"66","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE PROTEÇÃO SOCIAL ÀS CRIANÇAS E ADOLESCENTES VÍTIMAS DE VIOLÊNCIA – SPSCAVV","C.DEF. DIR.CRIANÇA E ADOL. MONICA PAIÃO TREVISAN",1021155.6
"67","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA NEUROCIRURGIA DE CRÂNIO E COLUNA VERTEBRAL, PARA SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Med Care Comercial Ltda",1400000
"68","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","PRESTAÇÃO DE SERVIÇOS DE DOSIMETRIA PESSOAL COM CONCESSÃO DE DIREITO DE USO DE DOSIMETRIA","PRO-RAD CONSULTORES EM RADIOPROTEÇÃO S/S LTDA",27405
"69","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA PLÁSTICA DE RECONSTRUÇÃO MAMÁRIA.","Silimed Indústria de Implantes Ltda",17000
"70","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE SELANTE CIRÚRGICO DE FIBRINA, HEMOSTÁTICO DE CELULOSE E HEMOSTÁTICO DE COLÁGENO COM COMODATO DE EQUIPAMENTOS E FORNECIMENTO DE INSUMOS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Dabasons Imp., Exp. e Comércio Ltda",245000
"71","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE SELANTE CIRÚRGICO DE FIBRINA, HEMOSTÁTICO DE CELULOSE E HEMOSTÁTICO DE COLÁGENO COM COMODATO DE EQUIPAMENTOS E FORNECIMENTO DE INSUMOS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Mogami Importação e Exportação Ltda",827428.9
"72","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA ORTOPEDIA, FIXADOR EXTERNO DE ALTA COMPLEXIDADE, MINI-HASTES E HASTES FLEXÍVEIS E IMPLANTE P/ TENDÃO DO MS, COM COMODATO, MATERIAIS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Bio2 Imp. e Com. de Materiais Médico Hosp. Ltda",41800
"73","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA ORTOPEDIA, FIXADOR EXTERNO DE ALTA COMPLEXIDADE, MINI-HASTES E HASTES FLEXÍVEIS E IMPLANTE P/ TENDÃO DO MS, COM COMODATO, MATERIAIS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Bone Surgical Equipamentos Médicos - Eireli",3424000
"74","SAÚDE","Exercer as atividades da AMA ESPECIALIDADE CAPÃO REDONDO e AMA ESPECIALIDADE BERTIOGA","Centro de Estudos e Pesquisas “Dr. João Amorim”",16228179.72
"75","SAÚDE","Manutenção do desenvolvimento das ações relativas à assistência médica ambulatorial AMA Boracéia e AMA Prates, pelo período de 24.03.2014 a 20.09.2014.","Congregação das Irmãs Hospitaleiras do Sagrado Cor",4640411.74
"76","AUTARQUIA HOSPITALAR MUNICIPAL","FORNECIMENTO DE EQUIPAMENTOS, MATERIAIS E MÃO DE OBRA PARA INSTALAÇÃO DE SISTEMAS DE CLIMATIZAÇÃO PARA OS HOSPITAIS MUNICIPAIS DR. ARTHUR RIBEIRO DE SABOYA, DR. IGNÁCIO PROENÇA DE GOUVÊA, DR. ALEXANDRE ZAIO, PRONTO SOCORRO MUNICIPAL PROF. JOÃO CATARIN MEZOMO, PRONTO SOCORRO MUNICIPAL DE PERUS E DO PRONTO ATENDIMENTO JARDIM MACEDÔNIA, VINCULADOS A AUTARQUIA HOSPITALAR MUNICIPAL.","Brisamax Comércio, Inst. e Manut. de Ar Condic.",13985
"77","COMPANHIA DE ENGENHARIA DE TRAFEGO","PRESTAÇÃO DE SERVIÇOS PARA LOCAÇÃO DE EQUIPAMENTO SCANNER LEITOR/VISUALIZADOR E DIGITALIZADOR DE MICROFILMES.","DANTEK COM.IMP.EQUIP.P/MICROFILM.ASSIST.MANUT.LTD",14400
"78","SP NEGOCIOS","O presente pregão tem por objeto a contratação de empresa para a prestação de serviços contábil, fiscal e de recursos humanos para a Companhia São Paulo de Parcerias – SPP, conforme Caderno Técnico constante do ANEXO II do Edital.","Seteco Serviços Técnicos Contabeis Soc.Simples",67352.76
"79","EDUCAÇÃO","Convênio firmado entre a PMSP e a entidade CRUZADA PRÓ INFÂNCIA – CEI LYDIA DOS SANTOS CARRANO","Cruzada Pro infancia",2406562.5
"80","EDUCAÇÃO","Celebração de Convênio em continuidade, alteração da faixa etária e redução do número de atendimentos nos termos da Portaria SME nº 3.477/11 e alterações posteriores –  Termo de convênio","Associação de Assistencia à Criança Santamarense",2377050
"81","SUBPREFEITURA: GUAIANASES","Contratação de empresa especializada para Implantação de Equipamentos Urbanos e Comunitários e adequação em espaço publico de lazer e áreas verdes. Local: Rua Barbalho Bezerra x Rua Pedro da Silveira – Jd. São Paulo – Guaianases","DB CONSTRUÇÕES LTDA",172146.99
"82","SUBPREFEITURA: IPIRANGA","Obras e serviços com fornecimento de materiais de primeira linha e mão de obra especializada, conforme “Tabela de Custos Unitários e Caderno de Critérios Técnicos EDIF/SIURB - Data Base: Janeiro / 2014"", na manutenção da Academia da Terceira Idade – ATI, Playground e melhorias na acessibilidade da Praça Belmiro Vampel, entre Ruas Judite Anderson e Sebastião S. Mena – Jardim Maria Estela -Distrito: Sacomã","THI ENGENHARIA E ARQUITETURA LTDA. - EPP",29653.1
"83","SUBPREFEITURA: GUAIANASES","Contratação de Empresa Especializada para construção de uma quadra poliesportiva em área publica. Local: Rua Honório Alves x Rua Soberania Divina – Guaianases.","DB CONSTRUÇÕES LTDA",193171.58
"84","SUBPREFEITURA: GUAIANASES","IMPLANTAÇÃO DE EQUIPAMENTOS URBANOS E COMUNITÁRIOS E ADEQUAÇÃO EM ESPAÇO PÚBLICO DE LAZER E ÁREAS VERDES NA ÁREA PÚBLICA DA RUA MARMELO X SERRA ESCALVADA JARDIM SÃO CARLOS – GUAIANASES – SP.","MATHESIS ENGENHARIA E CONSTRUÇÃO LTDA",108769.08
